cap_max,cap_min,ub_in,sink,fixed_source,sink_fixed,cap
2298901,2298899,516730,0,1,0,2
2285401,2285399,513180,13497,0,0,2
2280401,2280399,512070,5057.6,0,0,2
2269701,2269699,509220,10630,0,110.41,2
2254900,2254800,505460,14971,0,85.103,100
2241300,2240900,502370,13835,0,251.29,400
2218100,2217600,496790,23420,0,422.64,500
2132100,2131300,478320,86422,0,514.76,800
1971800,1970000,441730,161620,0,1861.3,1800
1794700,1789500,403300,181210,0,3772.4,5200
1700900,1692300,381520,99374,0,6711,8600
1617000,1605200,363290,90307,0,6540.7,11800
1534000,1520000,346110,89690,0,6547.6,14000
1459000,1440500,330710,83272,0,8483.5,18500
1394700,1369900,317720,74747,0,9680.1,24800
1351800,1322000,306320,52810,0,10829,29800
1339600,1304200,304120,23174,0,9835.8,35400
1312100,1272600,300460,38466,0,11477,39500
1338800,1295400,305130,0,0.0065261647,11711,43400
1369700,1326000,310720,0,0.0091361086,10575,43700
1413100,1371100,319870,0,0.0154286833,7263.8,42000
1428800,1394400,323870,0,0.0048975597,3974.7,34400
1447100,1421600,327660,0,0.0065265997,3319.8,25500
1447800,1432800,327570,594,0,1997.2,15000
1461300,1452500,329800,0,0.0053077559,1173,8800
1457800,1452500,329160,3591.2,0,258.68,5300
1454000,1451500,328230,3862.2,0,65.232,2500
1441100,1439500,324630,13042,0,141.87,1600
1381900,1380000,311830,59980,0,371.68,1900
1249100,1245100,282530,136170,0,2673,4000
1064600,1056500,239490,190510,0,7238.1,8100
1042400,1027500,234290,33677,0,10579,14900
1011800,995330,228470,40388,0,9192.9,16470
970930,956100,216480,49058,0,7827.8,14830
924820,910720,204670,53624,0,8533.9,14100
885300,869100,196660,48895,0,10040,16200
889240,867720,199620,9503.5,0,12276,21520
874230,852670,199980,26941,0,12139,21560
849950,826670,195400,36140,0,11825,23280
836160,807020,190720,28835,0,13592,29140
882890,843320,198870,0,0.0113219366,20535,39570
957380,908190,218810,0,0.0229479316,20499,49190
1061400,1000700,238360,0,0.0358545391,19848,60700
1154100,1089700,260800,0,0.0339340554,15405,64400
1189400,1130700,269220,0,0.0116616643,9364.4,58700
1211900,1166700,272800,0,0.0072404193,5600.9,45200
1251700,1217000,282450,0,0.0153395102,5009,34700
1276700,1252300,288350,0,0.0097272609,3198.7,24400
1281000,1265900,289750,0,0.0013730045,819.18,15100
1278900,1271300,288840,2315.9,0,175.15,7600
1274300,1270600,287890,4578.5,0,63.856,3700
1266600,1264700,285750,7814.3,0,121.15,1900
1209900,1208700,274060,56935,0,415.87,1200
1102100,1098600,247750,110850,0,3870,3500
958520,949450,216150,151690,0,7861.8,9070
949300,933640,215130,21294,0,13160,15660
901770,886170,202660,56626,0,11120,15600
871290,855530,196940,38920,0,8488.4,15760
874390,857220,198130,6863.2,0,9224,17170
834380,817860,187120,49202,0,10533,16520
844230,825410,191670,812.85,0,12056,18820
832790,812000,190240,23445,0,11939,20790
828240,805150,189610,17598,0,12754,23090
800430,772800,183270,42219,0,14090,27630
829890,792570,190640,0,0.0043577363,19181,37320
917240,867790,209800,0,0.0281821741,19747,49450
1019700,959720,232050,0,0.0354108487,18921,59980
1106600,1043200,250490,0,0.0316538344,14711,63400
1157200,1097200,261340,0,0.0178346166,9880.9,60000
1197000,1148400,270320,0,0.0140815172,6276.3,48600
1233400,1197500,277420,0,0.0138557571,5703.3,35900
1266800,1243000,285570,0,0.013304624,2470.8,23800
1269400,1254800,286070,0,0.0007303493,1010.2,14600
1265200,1258100,284960,4209.6,0,192.45,7100
1261500,1258500,284260,3791.4,0,170.99,3000
1253200,1251700,282020,8368.1,0,359.14,1500
1187800,1186700,267640,65809,0,652.29,1100
1087500,1084000,245250,103240,0,3369.2,3500
978640,969290,220770,116690,0,7357.8,9350
946580,931840,214720,42981,0,11061,14740
920610,904150,207970,36238,0,8554.6,16460
887190,872010,200110,41044,0,8152.9,15180
866850,850010,194910,29681,0,8620.3,16840
837840,819050,188560,39332,0,9327.8,18790
845410,823710,190530,4593.8,0,12122,21700
834550,811040,190940,23005,0,15140,23510
845270,818670,189440,2953.5,0,14863,26600
858870,825730,192230,3457.1,0,15684,33140
839410,799800,191140,37176,0,18916,39610
940830,889260,214410,0,0.0345521771,24133,51570
1056000,993910,237550,0,0.040788638,20119,62090
1163100,1096000,264350,0,0.0391957023,15981,67100
1209100,1146900,273490,0,0.015722737,9038.2,62200
1238900,1187100,280220,0,0.0101487668,5911.2,51800
1284200,1246300,290280,0,0.0172639088,3644,37900
1298900,1274000,294820,0,0.0052890513,2465.3,24900
1310800,1296300,297660,0,0.0046152508,1638.2,14500
1308900,1301100,297320,2018.9,0,168.69,7800
1309200,1305500,297450,0,0.0001179738,67.352,3700
1292300,1290600,293880,16944,0,200.24,1700
1222200,1220600,277010,70641,0,263.36,1600
1102100,1098500,250410,122790,0,2610.7,3600
984370,974920,223860,125310,0,6086.1,9450
959510,943970,215190,36133,0,11717,15540
933440,916990,210890,35483,0,9956,16450
876910,862570,198740,63884,0,8748.3,14340
841350,827120,190830,43635,0,8730.4,14230
820180,802810,187190,31037,0,11123,17370
