cap_max,cap_min,ub_in,sink,fixed_source,sink_fixed,cap
833440,812080,187860,0,0.0002441733,13204,21360
839000,814670,188550,8416.1,0,12873,24330
825860,800990,187190,25663,0,12516,24870
803010,772070,183120,38446,0,16176,30940
841140,800580,189240,0,0.0076149463,20765,40560
929740,879890,207800,0,0.029257906,25641,49850
1033400,971600,232030,0,0.035301666,21785,61800
1143300,1074900,254990,0,0.0397920745,17200,68400
1179300,1115600,263490,0,0.0113088869,8368.3,63700
1206900,1154400,269650,0,0.0085484362,6954.3,52500
1239600,1199900,276770,0,0.012094045,4041.9,39700
1269300,1242600,284130,0,0.0117508374,2840.1,26700
1275200,1259900,285830,0,0.0021598591,1263.8,15300
1273500,1265800,285580,1952.2,0,60.692,7700
1273300,1269700,285660,272.56,0,140.89,3600
1264900,1263100,283860,8484.2,0,66.478,1800
1204600,1203200,270380,60673,0,414.3,1400
1092200,1088700,244660,115260,0,3245.2,3500
973450,964240,219880,126730,0,7641.7,9210
963400,947770,219850,21703,0,11723,15630
915780,900060,208000,57258,0,11488,15720
891900,876500,199960,33544,0,8642.8,15400
856600,839810,193100,45722,0,11389,16790
830730,811240,187220,36892,0,9896.4,19490
852450,826470,193470,0,0.0027776328,13650,25980
845090,818210,190460,20953,0,15727,26880
835940,805580,191510,24430,0,14855,30360
809240,774270,184040,43250,0,18513,34970
846600,801480,189390,0,0.0064217669,23828,45120
923710,865110,209820,0,0.0219913872,26160,58600
1009400,942510,228820,0,0.027859411,27556,66890
1110400,1033700,252010,0,0.0348801601,23427,76700
1134000,1060100,256930,0,0.005021532,13273,73900
1169100,1104500,264790,0,0.010930445,8939.6,64600
1214800,1164100,275090,0,0.0165152899,6866.9,50700
1229500,1193800,278020,0,0.0047535778,4475.3,35700
1230600,1205900,278960,1511,0,2415.6,24700
1226700,1212300,277650,4456.2,0,454.02,14400
1220600,1212800,276230,6268.2,0,156.64,7800
1220300,1215600,276020,677.57,0,201.15,4700
1190100,1187300,269790,30461,0,245.31,2800
1170400,1167000,265110,21608,0,1405,3400
1118600,1115800,254480,53648,0,1266.1,2800
1022700,1018200,233550,99275,0,2785.5,4500
921220,914180,208350,106870,0,6043,7040
789210,777330,177490,141150,0,10176,11880
783990,763650,177660,20330,0,14244,20340
817260,791010,182570,0,0.0074753143,14287,26250
782910,750910,177580,50995,0,17094,32000
839340,799060,187090,0,0.0164004524,16014,40280
876980,829130,195530,0,0.0082948367,17985,47850
893490,841000,199910,0,0.000425808,15604,52490
899650,841670,204380,10341,0,15172,57980
948000,883790,214140,0,0.0133272435,15716,64210
1020100,950810,230360,0,0.0242450737,15626,69290
1080600,1011100,244700,0,0.0204275958,14990,69500
1102700,1036000,249250,0,0.0055200313,9616.7,66700
1131600,1069400,254690,0,0.0089020836,7164.3,62200
1159700,1106400,260620,0,0.0094358171,5797.1,53300
1192700,1147600,268210,0,0.0119130889,4732.4,45100
1197800,1164200,269510,0,0.0015250337,1290.6,33600
1195400,1173100,269130,2524.9,0,415.56,22300
1194100,1180300,269050,1454,0,295.51,13800
1191500,1182800,268610,2898.4,0,152.78,8700
1185200,1179600,267070,6598.4,0,171.86,5600
1179600,1175600,265900,6018.8,0,341.07,4000
1165200,1162700,262060,15300,0,518.48,2500
1129600,1127100,253080,37301,0,992.1,2500
1059500,1055100,237690,73450,0,2966,4400
984720,975520,222420,81390,0,7344.6,9200
972100,956150,219930,22731,0,11600,15950
948790,929960,213600,32893,0,10046,18830
958270,932210,213230,3346,0,9652.6,26060
923250,892520,208520,46346,0,12621,30730
921030,883640,206770,15859,0,13615,37390
913820,870020,208700,21427,0,14842,43800
922510,872670,212340,5969.6,0,16419,49840
943220,888380,217370,0,0.0018113011,14155,54840
1013300,952790,230980,0,0.023302884,16599,60510
1074400,1013500,245120,0,0.0199273566,11596,60900
1101600,1047400,252370,0,0.0078759407,10149,54200
1105600,1061700,253830,1942.3,0,6762.3,43900
1131700,1098200,260460,0,0.0089081735,4779.3,33500
1141100,1117800,261700,0,0.0030361912,2459.9,23300
1151800,1138000,264110,0,0.0038712428,1419.8,13800
1152400,1144600,264180,0,5.02544695289051E-005,342.58,7800
1149700,1145500,263440,2888.1,0,317.79,4200
1139600,1137100,260950,10355,0,395.01,2500
1092400,1090700,251230,47858,0,559.84,1700
1005600,1000700,232290,91166,0,3881.3,4900
888500,877680,204900,126290,0,8873.9,10820
886390,867880,201840,17504,0,15101,18510
860310,840260,196840,38742,0,12050,20050
812200,793400,187040,59247,0,10668,18800
825030,804210,188840,0,0.0002740963,10396,20820
803180,781140,183870,34239,0,11738,22040
834170,809020,189290,0,0.00720736,13845,25150
813710,786050,184930,34688,0,11603,27660
821090,789580,188520,8572.8,0,16234,31510
782220,749290,176730,53689,0,16757,32930
794570,752070,180830,8869,0,21584,42500
915390,858400,207020,0,0.0410065684,27369,56990
1017100,948910,229060,0,0.0331097481,24636,68190
1118500,1044800,252300,0,0.0357383966,19420,73700
1167800,1100400,262260,0,0.0167588847,10773,67400
1195000,1142100,268630,0,0.0088085606,7368.3,52900
1232400,1192500,277020,0,0.0138644569,5682.5,39900
1260600,1231500,283240,0,0.0106115969,3663.8,29100
1269800,1251300,284920,0,0.0031499413,969.58,18500
1266900,1256700,284260,3159.1,0,149.59,10200
1266200,1261300,284110,878.84,0,142.84,4900
1260300,1257100,283040,6162.5,0,68.257,3200
1208200,1206300,269220,52575,0,605.9,1900
1083800,1079500,241510,127670,0,2843,4300
953130,944040,214670,137880,0,6026.8,9090
962410,946470,216460,2871.7,0,12161,15940
935680,918390,210900,38442,0,11401,17290
898460,882850,199310,46093,0,9407.3,15610
879940,863790,195220,28865,0,8748.7,16150
856200,838200,189970,34691,0,10132,18000
853050,831780,188370,15932,0,12840,21270
826680,802860,185690,40641,0,13746,23820
835200,808220,185610,5948.5,0,15394,26980
823070,792290,183870,27373,0,13390,30780
854090,814210,193120,0,0.0045421723,20304,39880
917640,865160,209880,0,0.0175527426,22655,52480
1010300,946970,230290,0,0.030837792,21635,63330
1146900,1077600,259350,0,0.0517943364,17697,69300
1184200,1118200,269190,0,0.0117042934,10973,66000
1218200,1164300,275110,0,0.0116172952,6504.3,53900
1258700,1219200,283550,0,0.0152925312,5376.6,39500
1279700,1254000,288790,0,0.0077776328,3049.8,25700
1290300,1275500,291090,0,0.0040546783,1085,14800
1289000,1281800,290840,1543.1,0,359.92,7200
1286100,1282400,289910,3049.5,0,260.05,3700
1280300,1278200,289080,6035.9,0,48.33,2100
1227200,1225400,276650,53748,0,625.07,1800
1113200,1109200,250900,117080,0,2816.5,4000
975660,966670,221270,144990,0,8168.7,8990
984080,967250,221860,5261.6,0,12503,16830
947800,932720,213240,45608,0,8846.9,15080
901480,886680,203650,56021,0,8039.5,14800
877740,862620,198690,33267,0,8298,15120
852800,835960,191650,34875,0,10518,16840
852720,831290,191500,13646,0,12755,21430
845560,822250,190460,21115,0,13706,23310
855150,826820,192300,6765,0,13166,28330
839300,808170,186110,30727,0,16472,31130
855800,814570,193530,3155,0,21126,41230
938380,886550,213940,0,0.0264465614,22860,51830
1026000,965170,233110,0,0.0290382357,22247,60830
1136600,1071800,255200,0,0.0411405455,15721,64800
1164700,1104800,262100,0,0.0084044543,10335,59900
1207400,1158700,271100,0,0.0155974597,5899.8,48700
1254500,1217600,281050,0,0.0180795163,6088.5,36900
1280200,1253900,286740,0,0.009861673,2804.7,26300
1292300,1275500,289710,0,0.0045630519,1265.1,16800
1286900,1277200,288630,5913.4,0,307.46,9700
1286100,1281400,288540,1016.5,0,144.92,4700
1281800,1279700,287440,4346.8,0,56.305,2100
1218600,1217200,273470,63719,0,507.59,1400
1086200,1083000,244220,135060,0,4254.2,3200
960370,952520,214020,132310,0,8199.7,7850
933320,917860,208540,39357,0,13175,15460
908610,892000,204700,34805,0,9696.1,16610
887810,872820,198170,29546,0,9445.4,14990
876180,857810,194440,23412,0,9124.5,18370
845090,826410,188530,41848,0,10620,18680
841310,818610,189120,17737,0,12850,22700
850840,825830,194340,3997,0,14221,25010
855260,827770,193890,10039,0,13862,27490
834320,802900,190100,35836,0,14492,31420
861100,818760,196160,0,0.0024182435,17514,42340
955640,901170,214810,0,0.0309226152,24337,54470
1040900,977390,234260,0,0.0283579103,20991,63510
1147400,1077600,260940,0,0.0388999087,17522,69800
1188300,1124600,270080,0,0.0135134195,10116,63700
1218600,1167100,276260,0,0.0101113576,6990.3,51500
1279000,1238400,288390,0,0.0235399539,5353.3,40600
1299600,1271200,292800,0,0.0075292531,2786.6,28400
1311300,1294500,295070,0,0.0045865414,1012.6,16800
1308400,1300600,294310,3089.8,0,147.67,7800
1304500,1300700,293460,3886.4,0,206.22,3800
1300300,1298500,292400,4359.6,0,151.09,1800
1232200,1230600,278660,68969,0,470.77,1600
1115600,1112000,252130,119470,0,3114.7,3600
984530,976180,221600,138170,0,7801.2,8350
978440,962270,223640,18569,0,13647,16170
951860,934070,217910,37709,0,8835.4,17790
884260,867850,202500,76375,0,8990,16410
863740,846600,196600,30458,0,11374,17140
823730,804980,183920,49986,0,11583,18750
834310,811510,184520,2488.7,0,14450,22800
821820,796830,181020,25753,0,14591,24990
809800,781360,181610,26903,0,14780,28440
805280,768970,180930,24475,0,16282,36310
854100,808080,191500,0,0.0105759276,23954,46020
937400,876870,211690,0,0.0239710296,28077,60530
1018800,944470,228840,0,0.0239975641,24783,74330
1119100,1035000,255590,0,0.0342137544,20629,84100
1170700,1087800,264550,0,0.0167954239,12793,82900
1203400,1129400,272720,0,0.0094767063,8842,74000
1251800,1194900,281990,0,0.0176984645,7093.7,56900
1266900,1227500,285300,0,0.0049045196,2699.6,39400
1277000,1252100,287090,0,0.0036342599,1956.9,24900
1274200,1259300,286420,3689.7,0,572.78,14900
1274500,1266600,286480,41.048,0,153.9,7900
1267000,1263500,284850,7644.8,0,19.508,3500
1254900,1252700,280510,12491,0,417.82,2200
1234700,1231900,276980,21921,0,1326.7,2800
1177100,1174600,264370,59204,0,2475.5,2500
1062600,1058700,236530,117830,0,2265.5,3900
950620,942510,211600,118730,0,6501.4,8110
856240,843330,191870,104250,0,10033,12910
846600,826900,188150,23971,0,13832,19700
852510,827940,187140,9795.9,0,15954,24570
829450,800320,185000,38785,0,15257,29130
870350,832830,194500,0,0.0093375092,17860,37520
895240,853860,199000,0,0.0039722911,17690,41380
916690,868770,202650,0,0.0025217713,13475,47920
939990,883910,207390,0,0.0027513593,16463,56080
984110,918650,217960,0,0.0107977728,18045,65460
1042800,970430,230630,0,0.0177367437,17099,72370
1125500,1048700,247870,0,0.0290647701,15331,76800
1150700,1077400,254080,0,0.0071047022,8672,73300
1177500,1111900,259460,0,0.0086376093,8849.4,65600
1193500,1139000,262680,0,0.004370786,6484.7,54500
1237600,1192200,272780,0,0.0166266475,5720.4,45400
1236300,1203400,272850,2780.4,0,2344.8,32900
1233200,1212000,272060,3362.6,0,656.81,21200
1230600,1218400,271750,2816.2,0,197.77,12200
1228700,1220900,271320,1939.7,0,243.46,7800
1219000,1213600,268770,9788.4,0,367.41,5400
1210300,1206800,267320,9027.8,0,659.74,3500
1198900,1196500,265380,11983,0,669.09,2400
1157500,1155500,255630,42658,0,889.08,2000
1090200,1086300,242020,70305,0,2695.8,3900
1004400,995450,225020,92706,0,5837.6,8950
967240,952270,217460,47119,0,8549.5,14970
965160,945110,216050,11823,0,11018,20050
942340,918930,211030,32862,0,10768,23410
910190,881640,203480,43940,0,13408,28550
920270,884340,207750,4673.8,0,13347,35930
938170,896180,210570,0,0.0012224107,15710,41990
936170,889840,211820,16108,0,15260,46330
964340,910900,216850,0,0.0052581669,17752,53440
1017900,958680,231110,0,0.0159702466,16451,59220
1076200,1019500,243000,0,0.0198738527,12647,56700
1106200,1053500,251260,0,0.0087219975,9231.8,52700
1119400,1077200,252790,0,0.0032299361,7026.3,42200
1151400,1120300,260540,0,0.0118034712,5719.5,31100
1157000,1136300,261600,0,0.0016213841,2188.8,20700
1163400,1150900,262860,0,0.0022867023,1448.1,12500
1163100,1156500,262600,740.71,0,408.58,6600
1162900,1159400,262770,613.13,0,253.85,3500
1158300,1156600,261530,4819.2,0,174.88,1700
1102800,1101300,248910,56288,0,900.6,1500
1000700,995910,226440,106100,0,3666.4,4790
881110,870350,198680,128470,0,7710.5,10760
880330,860830,200040,16270,0,13989,19500
886450,867020,199190,6437.7,0,13217,19430
836120,817590,186290,61237,0,10797,18530
830400,808390,187500,18752,0,12474,22010
824230,801490,184960,18493,0,9776.9,22740
856740,829060,190830,0,0.0072121449,13393,27680
837490,810050,188450,32180,0,15362,27440
823920,794720,187000,27746,0,15648,29200
822340,787210,184200,19880,0,18757,35130
860140,817390,193590,0,0.0070085693,21349,42750
920880,867950,205010,0,0.0163382487,25527,52930
1023900,959450,228340,0,0.0347857671,22895,64450
1126400,1057100,251520,0,0.0370572883,18795,69300
1173400,1107900,261820,0,0.0155261212,11580,65500
1195900,1142300,266490,0,0.0065387794,8152.3,53600
1244100,1203700,275050,0,0.018467093,7764.8,40400
1268000,1240800,281150,0,0.0092666058,3056.9,27200
1276800,1260700,283320,0,0.0033197181,1265.1,16100
1275800,1267600,282860,1255.7,0,342,8200
1273800,1270300,282420,2111.1,0,214.64,3500
1264000,1262500,280520,9788.2,0,105.11,1500
1213200,1211200,270280,51884,0,194.91,2000
1090500,1086900,244200,125680,0,3986.7,3600
939940,931200,209710,158440,0,7921.4,8740
931330,915120,209040,21442,0,11684,16210
887370,870850,200070,53966,0,10007,16520
854210,838420,192980,42981,0,8583.9,15790
847490,830580,191130,16906,0,10222,16910
808640,790670,181860,48573,0,11797,17970
839600,816080,188490,0,0.0070725129,12247,23520
819780,795040,185080,33370,0,14594,24740
807780,780870,183480,25923,0,15419,26910
851570,816720,191630,0,0.0107882031,14163,34850
870870,829590,195360,864.82,0,19621,41280
918900,867910,210730,0,0.0113841402,22878,50990
1036300,975530,235280,0,0.0416333899,21254,60770
1118300,1053100,254320,0,0.0287968159,16846,65200
1166800,1105800,266720,0,0.0169642003,8837.8,61000
1197200,1146900,274120,0,0.0102248902,6043.4,50300
1235200,1196900,281210,0,0.0142568185,5006.9,38300
1264800,1239400,288520,0,0.0114050198,2686.1,25400
1280300,1264700,291250,0,0.0060254905,982.81,15600
1277700,1269600,290860,2827.9,0,212.58,8100
1277300,1273300,290990,832.6,0,162.94,4000
1267100,1264700,288320,10363,0,131.43,2400
1210900,1209700,275730,56429,0,372.54,1200
1112400,1107700,254860,102440,0,2108.9,4700
962340,953680,218590,157010,0,5744.9,8660
949780,934650,217260,24456,0,11716,15130
942860,925950,215060,17206,0,9914,16910
889030,874230,202540,61556,0,10224,14800
874240,857900,197890,23833,0,8756.2,16340
846930,829670,194760,37014,0,9483.4,17260
855270,834330,194360,3963,0,13004,20940
849680,825760,193610,19395,0,13103,23920
845300,820170,192280,17602,0,12297,25130
824360,794270,187270,36149,0,15183,30090
849050,810570,193410,0,0.0023432946,20568,38480
960660,907640,218260,0,0.0380638566,22503,53020
1053100,990080,237160,0,0.0309352299,19699,63020
1165800,1097500,263140,0,0.041908304,16200,68300
1204500,1140900,271270,0,0.012463352,8597.8,63600
1233900,1182800,278660,0,0.0099391013,6978.3,51100
1282600,1244300,287690,0,0.0188964287,4902.7,38300
1307100,1280700,293410,0,0.0094305972,3575.2,26400
1316800,1300700,295860,0,0.0036872417,1257.2,16100
1315000,1306300,295460,2041.3,0,292.4,8700
1311300,1307000,294920,3797.8,0,244.35,4300
1305100,1302400,293610,6638.2,0,282.76,2700
1245700,1244200,279590,59856,0,523.14,1500
1127800,1124300,252470,120840,0,2805.6,3500
973330,965050,218890,161480,0,7895.2,8280
968310,951370,217160,18292,0,12060,16940
960870,941520,215520,19777,0,9990.8,19350
916210,899680,205410,53606,0,8506.4,16530
887950,872140,198500,36600,0,10163,15810
867030,849370,192280,30770,0,10987,17660
877300,856050,196350,1316.1,0,12988,21250
873320,848530,195970,16975,0,12575,24790
852160,823940,193340,35852,0,15437,28220
852250,819720,192330,15013,0,15714,32530
878670,835440,196440,0,0.0021239723,19664,43230
958150,905710,213730,0,0.0247392231,23202,52440
1033400,973070,232230,0,0.0240027839,20874,60330
1134300,1069800,254850,0,0.0367875941,17158,64500
1178800,1118400,265100,0,0.0148645004,9967.7,60400
1203100,1154000,271890,0,0.0075718822,7670.3,49100
1239100,1201500,279870,0,0.0133798773,5953.4,37600
1263100,1238100,285160,0,0.0091456784,3407.5,25000
1276300,1260200,288590,0,0.0050354517,1058,16100
1274200,1265200,288070,2355.3,0,245.44,9000
1272200,1266600,287580,2221.4,0,76.299,5600
1262800,1259500,285920,9712.7,0,209.87,3300
1209400,1207600,272930,53887,0,340.48,1800
1102600,1098000,250520,110250,0,3100.7,4600
967790,959710,220090,141500,0,6410.9,8080
930270,914230,213990,50427,0,12652,16040
906630,890120,208420,34409,0,9415.6,16510
872230,855500,200750,44253,0,8991.8,16730
848430,830590,195530,34029,0,9979.3,17840
810550,792720,187170,48287,0,11216,17830
821440,798200,188670,3496.9,0,14580,23240
810670,785300,186840,24696,0,14331,25370
818390,789970,184870,7028.8,0,14543,28420
812830,778310,184790,23540,0,16514,34520
851590,804400,192270,0,0.0063230241,21012,47190
948730,887740,213610,0,0.0301596416,28938,60990
1031200,957300,234620,0,0.0245769716,24480,73900
1145000,1059800,259630,0,0.039350994,19453,85200
1187400,1103800,268410,0,0.012697377,12789,83600
1226100,1152400,275990,0,0.0128561486,10010,73700
1273700,1216900,287290,0,0.0170625082,6737,56800
1293300,1254400,292480,0,0.0068719823,4264,38900
1293000,1268000,292080,2079,0,2185.3,25000
1288600,1275100,291510,5336.8,0,636.63,13500
1287500,1279600,291170,1563.3,0,328.96,7900
1285600,1281700,290920,2201.4,0,139.74,3900
1266200,1263400,287660,20073,0,141.83,2800
1247500,1244500,283380,20029,0,934.45,3000
1184800,1182400,270020,64133,0,2029.9,2400
1082300,1077000,248760,107180,0,3082.9,5300
963510,954930,220820,125700,0,6407.7,8580
832950,821570,190140,139050,0,8893.7,11380
829610,810210,186130,18002,0,14512,19400
852450,827380,191290,0,0.0027898125,15860,25070
824290,796070,183760,42452,0,15566,28220
862820,827230,191170,0,0.0090108313,20291,35590
887840,845260,196670,0,0.003184871,16879,42580
901860,855240,198110,1433.9,0,15244,46620
953990,899770,208760,0,0.015303841,16241,54220
998710,937720,219070,0,0.0122541215,19603,60990
1056800,990530,231330,0,0.0183914046,16704,66270
1103200,1035600,243580,0,0.0149732481,14564,67600
1121400,1056000,247260,0,0.0044068903,8305.1,65400
1142400,1084400,252910,0,0.0060733394,7123.6,58000
1168700,1119400,257910,0,0.0086750185,6628.8,49300
1210100,1167500,266200,0,0.0158062552,6207.1,42600
1216500,1184100,267790,0,0.0019663317,1532,32400
1214500,1193300,267110,2271.1,0,402.71,21200
1212300,1199100,266760,2491.5,0,90.706,13200
1208500,1201000,265780,4016,0,164.01,7500
1200300,1195100,264210,8223.8,0,276.72,5200
1194300,1190600,262740,6183.1,0,723.93,3700
1186000,1183300,260990,8708.9,0,610.79,2700
1138900,1136700,250680,48205,0,939.87,2200
1070900,1066900,236080,71118,0,2761.3,4000
985000,976980,218150,92037,0,5991.3,8020
978500,965370,215940,15018,0,11405,13130
956090,938830,212800,32585,0,10123,17260
931930,910840,206480,34659,0,11649,21090
941710,913550,208460,3155.4,0,11409,28160
936600,901340,211440,19261,0,15688,35260
951410,908600,211010,116.11,0,15868,42810
955580,908000,211740,10298,0,14686,47580
982920,928070,217170,0,0.0045152029,15794,54850
1039800,979980,231370,0,0.0177071643,15208,59820
1091100,1030100,241440,0,0.0163512984,14506,61000
1132100,1076200,250450,0,0.0136904607,8729.3,55900
1140900,1097200,253350,0,0.0012391144,6338.1,43700
1165500,1133900,258990,0,0.008745487,5345.5,31600
1171600,1151000,259900,0,0.0017017704,2180.4,20600
1181100,1168300,262250,0,0.0035654443,1308,12800
1180100,1174000,261710,1403,0,460.52,6100
1179300,1176100,261690,859.13,0,199.6,3200
1172500,1171200,259890,6943.1,0,46.045,1300
1105400,1104400,244330,67615,0,359.3,1000
1013000,1008700,224520,96428,0,3966.3,4300
893540,883190,199310,128550,0,8572.6,10350
893610,875770,200110,13393,0,15488,17840
877810,857060,193470,28783,0,12099,20750
836630,819310,186090,50488,0,11674,17320
802780,784180,179680,44920,0,10725,18600
809410,787680,180430,5313,0,10590,21730
821180,794760,181470,2997,0,13042,26420
835070,806400,184660,1638.8,0,13440,28670
845350,813610,187790,5737.9,0,13520,31740
834210,797430,185220,29877,0,15965,36780
855330,811720,190770,0,0.000239023,22848,43610
943450,888400,211970,0,0.0277241289,23309,55050
1056800,992260,234960,0,0.0391682979,23963,64540
1150200,1080500,255820,0,0.0328226543,18117,69700
1195300,1132100,266160,0,0.0149897777,10372,63200
1222400,1172400,271510,0,0.0085018922,8104.1,50000
1258200,1220800,279190,0,0.013024055,5948.4,37400
1288900,1264400,285400,0,0.0117142981,3342,24500
1296000,1280400,286760,0,0.002347079,1660.6,15600
1293400,1286000,286280,2860.6,0,81.602,7400
1290400,1286400,285620,3199.2,0,28.089,4000
1283600,1280900,284060,7132.6,0,171.06,2700
1223800,1221800,270230,60596,0,574.67,2000
1108300,1103800,246610,119080,0,3781.6,4500
949760,940550,211330,165920,0,8152.9,9210
943880,928040,210730,18007,0,13646,15840
916170,896630,206130,39585,0,11640,19540
878640,861160,198250,47252,0,10172,17480
854210,837640,193420,33126,0,10032,16570
838010,817830,188510,27043,0,11279,20180
871390,846230,194800,0,0.008185219,12871,25160
862730,836220,193550,22616,0,13663,26510
861310,831220,191360,17556,0,15056,30090
822310,790160,181130,54645,0,15724,32150
874990,830930,196190,0,0.0128687633,21798,44060
957280,901140,213390,0,0.0254195485,25065,56140
1069400,999800,242360,0,0.0375444778,21000,69600
1161500,1088300,260620,0,0.0328652834,15979,73200
1192700,1125400,269360,0,0.009397103,9317.2,67300
1224000,1173000,276930,0,0.0108599765,6393.8,51000
1256800,1220000,283800,0,0.0123894036,4999.7,36800
1282400,1258800,289300,0,0.0099565009,3002,23600
1289700,1275400,291040,0,0.002535082,764.15,14300
1286900,1278800,290580,3131.3,0,94.371,8100
1287100,1282800,290590,0,6.74844490843447E-005,73.366,4300
1277200,1275000,288000,10244,0,255.49,2200
1217100,1215400,274880,60733,0,549.92,1700
1116700,1112500,250980,104090,0,3109.8,4200
969910,959870,219430,155360,0,7395,10040
973140,956780,221520,8929.3,0,12128,16360
935250,919480,211740,47732,0,10391,15770
888940,873700,203540,55172,0,9936.3,15240
899170,880890,204120,1496.4,0,10565,18280
887060,867460,201630,23001,0,9946,19600
875850,854900,198840,23300,0,12854,20950
